Institute,Academic Year,Percentage of students going for higher studies
Alagappa University,2015-16,0.0
Alagappa University,2016-17,57.14285714285714
Alagappa University,2017-18,50.0
Alagappa University,2018-19,15.18987341772152
Aligarh Muslim University,2015-16,0.7215007215007215
Aligarh Muslim University,2016-17,55.83756345177665
Aligarh Muslim University,2017-18,59.60113960113959
Aligarh Muslim University,2018-19,85.99439775910365
Amity University,2015-16,30.4361770365619
Amity University,2016-17,31.220592305563244
Amity University,2017-18,59.86640690231005
Amity University,2018-19,43.993064156551895
Amity University,2019-20,66.52787416146195
Amity University Noida,2016-17,34.806102987921165
Amity University Noida,2017-18,45.22569444444444
Amity University Noida,2018-19,37.28015853356453
Amrita Vishwa Vidyapeetham,2015-16,45.0354609929078
Amrita Vishwa Vidyapeetham,2016-17,57.12098009188361
Amrita Vishwa Vidyapeetham,2017-18,41.56378600823045
Amrita Vishwa Vidyapeetham,2018-19,79.91329479768787
Amrita Vishwa Vidyapeetham,2019-20,52.448453608247426
Anand Agricultural University,2015-16,56.451612903225815
Anand Agricultural University,2016-17,43.895348837209305
Anand Agricultural University,2017-18,19.892473118279568
Andhra University,2015-16,40.0
Andhra University,2016-17,38.18181818181819
Andhra University,2017-18,33.89830508474576
Andhra University,2018-19,75.78947368421053
"Andhra University, Visakhapatnam",2017-18,33.89830508474576
"Andhra University, Visakhapatnam",2018-19,75.78947368421053
"Andhra University, Visakhapatnam",2019-20,56.33802816901409
Anna University,2015-16,7.673860911270983
Anna University,2016-17,7.295145132288723
Anna University,2017-18,6.873315363881402
Anna University,2018-19,4.18295543393276
Anna University,2019-20,6.946902654867257
Banaras Hindu University,2015-16,42.60194875496211
Banaras Hindu University,2016-17,49.472527472527474
Banaras Hindu University,2017-18,88.42539159109646
Banaras Hindu University,2018-19,86.53946227233304
Banaras Hindu University,2019-20,88.21855435401253
Banasthali Vidyapith,2015-16,49.065800162469536
Banasthali Vidyapith,2016-17,74.74560592044404
Banasthali Vidyapith,2017-18,78.81429816913688
Banasthali Vidyapith,2018-19,51.67682926829268
Banasthali Vidyapith,2019-20,61.50598170302604
Bharath Institute of Higher Education & Research,2015-16,0.0
Bharath Institute of Higher Education & Research,2016-17,0.0
Bharath Institute of Higher Education & Research,2017-18,0.0
Bharath Institute of Higher Education & Research,2018-19,0.0
Bharath Institute of Higher Education & Research,2019-20,34.724292101341284
Bharathiar University,2015-16,37.5
Bharathiar University,2016-17,31.818181818181817
Bharathiar University,2017-18,34.78260869565217
Bharathiar University,2018-19,43.75
Bharathiar University,2019-20,43.41085271317829
Bharathidasan University,2015-16,0.0
Bharathidasan University,2016-17,0.0
Bharathidasan University,2017-18,0.0
Bharathidasan University,2018-19,11.11111111111111
Bharathidasan University,2019-20,13.750000000000002
Bharati Vidyapeeth,2015-16,36.037441497659906
Bharati Vidyapeeth,2016-17,40.22824536376605
Bharati Vidyapeeth,2017-18,32.12996389891697
Bharati Vidyapeeth,2018-19,29.367382472431803
Birla Institute of Technology,2015-16,4.0
Birla Institute of Technology,2016-17,10.394537177541729
Birla Institute of Technology,2017-18,5.462822458270106
Birla Institute of Technology,2018-19,4.5662100456621
Birla Institute of Technology & Science,2015-16,2.680140597539543
Birla Institute of Technology & Science,2016-17,5.976470588235294
Birla Institute of Technology & Science,2017-18,6.13107822410148
Birla Institute of Technology & Science,2018-19,11.964679911699779
Birla Institute of Technology & Science -Pilani,2017-18,11.68091168091168
Birla Institute of Technology & Science -Pilani,2018-19,13.995584988962474
Birla Institute of Technology & Science -Pilani,2019-20,7.2633552014995315
Calcutta University,2015-16,66.71309192200557
Calcutta University,2016-17,45.96774193548387
Calcutta University,2017-18,41.51724137931034
Calcutta University,2018-19,49.23664122137404
Calcutta University,2019-20,38.8268156424581
Calicut University,2015-16,100.0
Calicut University,2016-17,100.0
Calicut University,2017-18,75.45871559633028
Calicut University,2018-19,68.88888888888889
Calicut University,2019-20,67.56756756756756
Chandigarh University,2017-18,36.577181208053695
Chandigarh University,2018-19,35.852090032154344
Chandigarh University,2019-20,34.52840595697739
Chaudhary Charan Singh Haryana Agricultural University,2015-16,76.95035460992908
Chaudhary Charan Singh Haryana Agricultural University,2016-17,67.40088105726872
Chaudhary Charan Singh Haryana Agricultural University,2017-18,82.30088495575221
Cochin University of Science and Technology,2015-16,0.0
Cochin University of Science and Technology,2016-17,0.0
Cochin University of Science and Technology,2017-18,6.666666666666667
Cochin University of Science and Technology,2018-19,0.0
Cochin University of Science and Technology,2019-20,0.0
College of Engineering,2015-16,11.444141689373296
College of Engineering,2016-17,21.54255319148936
College of Engineering,2017-18,8.241758241758241
Datta Meghe Institute of Medical Sciences,2015-16,0.0
Datta Meghe Institute of Medical Sciences,2016-17,7.936507936507936
Datta Meghe Institute of Medical Sciences,2017-18,7.5
Datta Meghe Institute of Medical Sciences,2018-19,5.0
Datta Meghe Institute of Medical Sciences,2019-20,5.813953488372093
Delhi Technological University,2015-16,0.0
Delhi Technological University,2016-17,0.0
Delhi Technological University,2017-18,0.0
Delhi Technological University,2018-19,0.0
Delhi Technological University,2019-20,83.14606741573034
Dr. B. R. Ambedkar National Institute of Technology,2017-18,13.55206847360913
Dr. B. R. Ambedkar National Institute of Technology,2018-19,15.182481751824817
Dr. B. R. Ambedkar National Institute of Technology,2019-20,3.2305433186490458
Dr. D. Y. Patil Vidyapeeth,2015-16,23.684210526315788
Dr. D. Y. Patil Vidyapeeth,2016-17,16.455696202531644
Dr. D. Y. Patil Vidyapeeth,2017-18,22.943722943722943
Dr. D. Y. Patil Vidyapeeth,2018-19,23.10924369747899
Dr. D. Y. Patil Vidyapeeth,2019-20,21.888412017167383
G. B. Pant Universtiy of Agriculture and Technology,2015-16,8.969210174029453
G. B. Pant Universtiy of Agriculture and Technology,2016-17,18.455743879472696
G. B. Pant Universtiy of Agriculture and Technology,2017-18,11.961722488038278
Gauhati University,2015-16,13.829787234042554
Gauhati University,2016-17,17.346938775510203
Gauhati University,2017-18,23.711340206185564
Gauhati University,2018-19,28.971962616822427
Gauhati University,2019-20,46.846846846846844
Guru Gobind Singh Indraprastha University,2015-16,26.717557251908396
Guru Gobind Singh Indraprastha University,2016-17,19.196428571428573
Guru Gobind Singh Indraprastha University,2017-18,17.586206896551722
Guru Gobind Singh Indraprastha University,2018-19,15.407854984894259
Guru Gobind Singh Indraprastha University,2019-20,23.931623931623932
Guru Nanak Dev University,2015-16,29.97601918465228
Guru Nanak Dev University,2016-17,29.855371900826444
Guru Nanak Dev University,2017-18,30.1948051948052
Guru Nanak Dev University,2018-19,29.914529914529915
Guru Nanak Dev University,2019-20,29.59830866807611
Indian Institute of Engineering Science and Technology,2015-16,14.21188630490956
Indian Institute of Engineering Science and Technology,2016-17,8.133971291866029
Indian Institute of Engineering Science and Technology,2017-18,9.732142857142858
Indian Institute of Engineering Science and Technology,2018-19,10.284463894967178
Indian Institute of Engineering Science and Technology,2019-20,10.37037037037037
Indian Institute of Science,2015-16,76.19047619047619
Indian Institute of Science,2016-17,82.68156424581005
Indian Institute of Science,2017-18,86.51162790697674
Indian Institute of Science,2018-19,96.93877551020408
Indian Institute of Science,2019-20,85.54216867469879
Indian Institute of Science Education & Research Bhopal,2015-16,66.15384615384615
Indian Institute of Science Education & Research Bhopal,2016-17,55.44554455445545
Indian Institute of Science Education & Research Bhopal,2017-18,58.26771653543307
Indian Institute of Science Education & Research Bhopal,2018-19,0.0
Indian Institute of Science Education & Research Bhopal,2019-20,0.0
Indian Institute of Science Education & Research Kolkata,2015-16,83.33333333333334
Indian Institute of Science Education & Research Kolkata,2016-17,88.04347826086956
Indian Institute of Science Education & Research Kolkata,2017-18,75.19685039370079
Indian Institute of Science Education & Research Kolkata,2018-19,40.0
Indian Institute of Science Education & Research Kolkata,2019-20,59.30232558139535
Indian Institute of Science Education & Research Mohali,2015-16,57.3170731707317
Indian Institute of Science Education & Research Mohali,2016-17,55.319148936170215
Indian Institute of Science Education & Research Mohali,2017-18,41.409691629955944
Indian Institute of Science Education & Research Mohali,2018-19,36.36363636363637
Indian Institute of Science Education & Research Pune,2015-16,65.625
Indian Institute of Science Education & Research Pune,2016-17,52.083333333333336
Indian Institute of Science Education & Research Pune,2017-18,42.173913043478265
Indian Institute of Science Education & Research Pune,2018-19,41.605839416058394
Indian Institute of Science Education & Research Pune,2019-20,42.567567567567565
Indian Institute of Science Education & Research Thiruvananthapuram,2016-17,21.428571428571427
Indian Institute of Science Education & Research Thiruvananthapuram,2017-18,43.96551724137931
Indian Institute of Science Education & Research Thiruvananthapuram,2018-19,53.96825396825397
"Indian Institute of Science Education & Research, Mohali",2017-18,42.34234234234234
"Indian Institute of Science Education & Research, Mohali",2018-19,27.32919254658385
"Indian Institute of Science Education & Research, Mohali",2019-20,44.171779141104295
Indian Institute of Technology (BHU) Varanasi,2016-17,6.1253561253561255
Indian Institute of Technology (BHU) Varanasi,2017-18,6.269113149847094
Indian Institute of Technology (BHU) Varanasi,2018-19,4.641909814323608
Indian Institute of Technology (Banaras Hindu University) Varanasi,2015-16,7.808219178082192
Indian Institute of Technology (Banaras Hindu University) Varanasi,2016-17,6.1253561253561255
Indian Institute of Technology (Banaras Hindu University) Varanasi,2017-18,6.269113149847094
Indian Institute of Technology (Banaras Hindu University) Varanasi,2018-19,4.641909814323608
Indian Institute of Technology (Banaras Hindu University) Varanasi,2019-20,3.3288948069241013
Indian Institute of Technology (Indian School of Mines),2016-17,4.596273291925466
Indian Institute of Technology (Indian School of Mines),2017-18,2.663438256658596
Indian Institute of Technology (Indian School of Mines),2018-19,3.2818532818532815
Indian Institute of Technology (Indian School of Mines),2019-20,1.8791946308724832
Indian Institute of Technology (Indian School of Mines) Dhanbad,2015-16,4.862023653088042
Indian Institute of Technology (Indian School of Mines) Dhanbad,2016-17,7.82608695652174
Indian Institute of Technology (Indian School of Mines) Dhanbad,2017-18,1.694915254237288
Indian Institute of Technology Bhubaneswar,2015-16,9.523809523809524
Indian Institute of Technology Bhubaneswar,2016-17,14.893617021276595
Indian Institute of Technology Bhubaneswar,2017-18,10.126582278481013
Indian Institute of Technology Bhubaneswar,2018-19,7.4324324324324325
Indian Institute of Technology Bhubaneswar,2019-20,2.051282051282051
Indian Institute of Technology Bombay,2015-16,0.0
Indian Institute of Technology Bombay,2016-17,0.0
Indian Institute of Technology Bombay,2017-18,10.750853242320819
Indian Institute of Technology Bombay,2018-19,19.598765432098766
Indian Institute of Technology Bombay,2019-20,18.4375
Indian Institute of Technology Delhi,2015-16,11.602209944751381
Indian Institute of Technology Delhi,2016-17,10.314685314685315
Indian Institute of Technology Delhi,2017-18,10.703363914373089
Indian Institute of Technology Delhi,2018-19,10.569105691056912
Indian Institute of Technology Delhi,2019-20,13.846153846153847
Indian Institute of Technology Gandhinagar,2015-16,20.0
Indian Institute of Technology Gandhinagar,2016-17,13.839285714285715
Indian Institute of Technology Gandhinagar,2017-18,31.372549019607842
Indian Institute of Technology Gandhinagar,2018-19,18.333333333333332
Indian Institute of Technology Gandhinagar,2019-20,23.717948717948715
Indian Institute of Technology Guwahati,2015-16,6.115107913669065
Indian Institute of Technology Guwahati,2016-17,3.4393809114359417
Indian Institute of Technology Guwahati,2017-18,9.661016949152543
Indian Institute of Technology Guwahati,2018-19,4.757785467128028
Indian Institute of Technology Guwahati,2019-20,9.715242881072026
Indian Institute of Technology Hyderabad,2015-16,11.351351351351353
Indian Institute of Technology Hyderabad,2016-17,19.791666666666664
Indian Institute of Technology Hyderabad,2017-18,30.102040816326532
Indian Institute of Technology Hyderabad,2018-19,20.94240837696335
Indian Institute of Technology Hyderabad,2019-20,20.091324200913242
Indian Institute of Technology Indore,2016-17,17.391304347826086
Indian Institute of Technology Indore,2017-18,13.513513513513514
Indian Institute of Technology Indore,2018-19,14.705882352941178
Indian Institute of Technology Indore,2019-20,8.4070796460177
Indian Institute of Technology Kanpur,2015-16,37.138263665594856
Indian Institute of Technology Kanpur,2016-17,42.597765363128495
Indian Institute of Technology Kanpur,2017-18,49.049429657794676
Indian Institute of Technology Kanpur,2018-19,39.09090909090909
Indian Institute of Technology Kanpur,2019-20,41.191381495564
Indian Institute of Technology Kharagpur,2015-16,0.0
Indian Institute of Technology Kharagpur,2016-17,2.7027027027027026
Indian Institute of Technology Kharagpur,2017-18,17.24137931034483
Indian Institute of Technology Kharagpur,2018-19,3.3333333333333335
Indian Institute of Technology Kharagpur,2019-20,6.0606060606060606
Indian Institute of Technology Madras,2015-16,27.014218009478675
Indian Institute of Technology Madras,2016-17,23.340961098398168
Indian Institute of Technology Madras,2017-18,15.269461077844312
Indian Institute of Technology Madras,2018-19,17.955801104972377
Indian Institute of Technology Madras,2019-20,11.497326203208557
Indian Institute of Technology Mandi,2015-16,4.464285714285714
Indian Institute of Technology Mandi,2016-17,2.631578947368421
Indian Institute of Technology Mandi,2017-18,2.727272727272727
Indian Institute of Technology Mandi,2018-19,13.28125
Indian Institute of Technology Patna,2015-16,10.256410256410255
Indian Institute of Technology Patna,2016-17,9.142857142857142
Indian Institute of Technology Patna,2017-18,9.248554913294797
Indian Institute of Technology Patna,2018-19,3.763440860215054
Indian Institute of Technology Patna,2019-20,4.18848167539267
Indian Institute of Technology Roorkee,2015-16,21.51394422310757
Indian Institute of Technology Roorkee,2016-17,20.46004842615012
Indian Institute of Technology Roorkee,2017-18,22.323166774821544
Indian Institute of Technology Roorkee,2018-19,12.0
Indian Institute of Technology Roorkee,2019-20,16.49874055415617
Indian Institute of Technology Ropar,2016-17,12.037037037037036
Indian Institute of Technology Ropar,2017-18,17.525773195876287
Indian Institute of Technology Ropar,2018-19,23.22274881516588
Indian Institute of Technology Ropar,2019-20,3.149606299212598
Institute of Chemical Technology,2015-16,44.78260869565218
Institute of Chemical Technology,2016-17,44.29223744292237
Institute of Chemical Technology,2017-18,45.72649572649573
Institute of Chemical Technology,2018-19,39.25619834710744
Institute of Chemical Technology,2019-20,33.33333333333333
JSS Academy of Higher Education and Research,2015-16,28.155339805825243
JSS Academy of Higher Education and Research,2016-17,38.21989528795812
JSS Academy of Higher Education and Research,2017-18,38.197424892703864
JSS Academy of Higher Education and Research,2018-19,36.26943005181347
JSS Academy of Higher Education and Research,2019-20,37.60330578512397
Jadavpur University,2015-16,100.0
Jadavpur University,2016-17,97.10391822827938
Jadavpur University,2017-18,98.05825242718447
Jadavpur University,2018-19,78.51002865329512
Jadavpur University,2019-20,75.82159624413146
Jamia Hamdard,2015-16,100.0
Jamia Hamdard,2016-17,46.15384615384615
Jamia Hamdard,2017-18,20.97902097902098
Jamia Hamdard,2018-19,27.972027972027973
Jamia Hamdard,2019-20,0.0
Jamia Millia Islamia,2015-16,94.56140350877193
Jamia Millia Islamia,2016-17,71.23287671232876
Jamia Millia Islamia,2017-18,77.9623477297896
Jamia Millia Islamia,2018-19,77.62008733624454
Jamia Millia Islamia,2019-20,77.31434384537131
Jawaharlal Nehru University,2015-16,86.30705394190872
Jawaharlal Nehru University,2016-17,96.01449275362319
Jawaharlal Nehru University,2017-18,97.34848484848484
Jawaharlal Nehru University,2018-19,91.6030534351145
Jawaharlal Nehru University,2019-20,14.516129032258066
KLE Academy of Higher Education and Research,2015-16,80.85106382978722
KLE Academy of Higher Education and Research,2016-17,15.384615384615385
KLE Academy of Higher Education and Research,2017-18,17.441860465116278
Kalasalingam Academy of Research and Higher Education,2017-18,7.128309572301425
Kalasalingam Academy of Research and Higher Education,2018-19,18.902439024390244
Kalasalingam Academy of Research and Higher Education,2019-20,12.720156555772993
Kalinga Institute of Industrial Technology,2015-16,2.8000000000000003
Kalinga Institute of Industrial Technology,2016-17,2.635046113306983
Kalinga Institute of Industrial Technology,2017-18,7.939339875111508
Kalinga Institute of Industrial Technology,2018-19,10.74600355239787
King George`s Medical University,2015-16,5.714285714285714
King George`s Medical University,2016-17,8.974358974358974
King George`s Medical University,2017-18,35.46099290780142
King George`s Medical University,2018-19,34.97142857142857
King George`s Medical University,2019-20,37.45704467353952
Koneru Lakshmaiah Education Foundation University,2016-17,15.532940546331012
Koneru Lakshmaiah Education Foundation University,2017-18,21.021611001964637
Koneru Lakshmaiah Education Foundation University,2018-19,15.577889447236181
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2015-16,4.478323010957599
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2016-17,15.532940546331012
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2017-18,21.021611001964637
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2018-19,15.577889447236181
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2019-20,9.926352865834135
Lovely Professional University,2016-17,24.025974025974026
Lovely Professional University,2017-18,24.049276914836636
Lovely Professional University,2018-19,20.63764141241001
Lovely Professional University,2019-20,21.14508783344177
Mahatma Gandhi University,2015-16,24.444444444444443
Mahatma Gandhi University,2016-17,16.666666666666664
Mahatma Gandhi University,2017-18,16.535433070866144
Mahatma Gandhi University,2018-19,7.083333333333333
Mahatma Gandhi University,2019-20,54.166666666666664
Malaviya National Institute of Technology,2016-17,1.1965811965811968
Malaviya National Institute of Technology,2017-18,2.568218298555377
Malaviya National Institute of Technology,2018-19,3.3628318584070795
Malaviya National Institute of Technology,2019-20,3.6918138041733553
Manipal Academy of Higher Education,2015-16,10.74766355140187
Manipal Academy of Higher Education,2016-17,22.435897435897438
Manipal Academy of Higher Education,2017-18,64.64891041162227
Manipal Academy of Higher Education,2018-19,45.294117647058826
Manipal Academy of Higher Education,2019-20,71.1340206185567
Mizoram University,2016-17,31.818181818181817
Mizoram University,2017-18,26.08695652173913
Mizoram University,2018-19,32.83582089552239
Motilal Nehru National Institute of Technology,2016-17,5.438813349814586
Motilal Nehru National Institute of Technology,2017-18,3.9408866995073892
Motilal Nehru National Institute of Technology,2018-19,12.860576923076922
Motilal Nehru National Institute of Technology,2019-20,32.752613240418114
Mumbai University,2016-17,20.689655172413794
Mumbai University,2017-18,27.73109243697479
Mumbai University,2018-19,15.436241610738255
Mumbai University,2019-20,41.951219512195124
Mysore University,2015-16,67.6923076923077
Mysore University,2016-17,69.81671265273945
Mysore University,2017-18,65.29284164859001
Mysore University,2018-19,30.0
Mysore University,2019-20,22.22222222222222
NITTE,2015-16,42.10526315789473
NITTE,2016-17,48.57142857142857
NITTE,2017-18,66.66666666666666
National Institute of Technology Durgapur,2015-16,16.997518610421835
National Institute of Technology Durgapur,2016-17,19.15995397008055
National Institute of Technology Durgapur,2017-18,18.39907860639217
National Institute of Technology Durgapur,2018-19,16.176470588235293
National Institute of Technology Durgapur,2019-20,22.624434389140273
National Institute of Technology Karnataka,2015-16,10.309278350515463
National Institute of Technology Karnataka,2016-17,11.616161616161616
National Institute of Technology Karnataka,2017-18,8.902439024390244
National Institute of Technology Karnataka,2018-19,11.689961880559085
National Institute of Technology Karnataka,2019-20,15.079365079365079
National Institute of Technology Rourkela,2015-16,2.5145067698259185
National Institute of Technology Rourkela,2016-17,3.763440860215054
National Institute of Technology Rourkela,2017-18,7.24907063197026
National Institute of Technology Rourkela,2018-19,9.393346379647749
National Institute of Technology Rourkela,2019-20,14.705882352941178
National Institute of Technology Silchar,2016-17,8.836206896551724
National Institute of Technology Silchar,2017-18,8.46774193548387
National Institute of Technology Silchar,2018-19,8.1374321880651
National Institute of Technology Silchar,2019-20,8.75912408759124
National Institute of Technology Tiruchirappalli,2015-16,11.070998796630565
National Institute of Technology Tiruchirappalli,2016-17,15.337423312883436
National Institute of Technology Tiruchirappalli,2017-18,19.736842105263158
National Institute of Technology Tiruchirappalli,2018-19,20.921544209215444
National Institute of Technology Tiruchirappalli,2019-20,22.166874221668742
National Institute of Technology Warangal,2015-16,9.00900900900901
National Institute of Technology Warangal,2016-17,4.7407407407407405
National Institute of Technology Warangal,2017-18,9.049773755656108
National Institute of Technology Warangal,2018-19,8.643617021276597
National Institute of Technology Warangal,2019-20,9.583333333333334
North Eastern Hill University,2015-16,11.11111111111111
North Eastern Hill University,2016-17,23.140495867768596
North Eastern Hill University,2017-18,23.076923076923077
North Eastern Hill University,2018-19,0.0
North Eastern Hill University,2019-20,0.0
Osmania University,2015-16,46.32352941176471
Osmania University,2016-17,39.0728476821192
Osmania University,2017-18,25.53191489361702
Osmania University,2018-19,36.36363636363637
Osmania University,2019-20,40.0
PSG College of Technology,2015-16,0.0
PSG College of Technology,2016-17,18.88888888888889
PSG College of Technology,2017-18,20.408163265306122
PSG College of Technology,2018-19,16.129032258064516
PSG College of Technology,2019-20,6.41025641025641
Panjab University,2015-16,4.449648711943794
Panjab University,2016-17,11.488250652741515
Panjab University,2017-18,6.299212598425196
Panjab University,2018-19,13.34120425029516
Panjab University,2019-20,4.375
Periyar University,2015-16,0.0
Periyar University,2016-17,0.0
Periyar University,2017-18,66.66666666666666
Pondicherry University,2015-16,74.19354838709677
Pondicherry University,2016-17,79.60526315789474
Pondicherry University,2017-18,28.48101265822785
Pondicherry University,2018-19,25.82417582417583
Pondicherry University,2019-20,28.292682926829265
Punjab Agricultural University,2015-16,54.73251028806584
Punjab Agricultural University,2016-17,36.39705882352941
Punjab Agricultural University,2017-18,13.55421686746988
S. R. M. Institute of Science and Technology,2016-17,12.144549763033176
S. R. M. Institute of Science and Technology,2017-18,14.759309718437782
S. R. M. Institute of Science and Technology,2018-19,13.333333333333334
S.R.M. Institute of Science and Technology,2017-18,14.759309718437782
S.R.M. Institute of Science and Technology,2018-19,13.333333333333334
S.R.M. Institute of Science and Technology,2019-20,6.334125098970704
SRM Institute of Science and Technology,2015-16,11.186770428015565
SRM Institute of Science and Technology,2016-17,14.255910987482615
SRM Institute of Science and Technology,2017-18,16.266266266266268
SVKM`s Narsee Monjee Institute of Management Studies,2015-16,26.621160409556317
SVKM`s Narsee Monjee Institute of Management Studies,2016-17,24.878048780487806
SVKM`s Narsee Monjee Institute of Management Studies,2017-18,19.923371647509576
SVKM`s Narsee Monjee Institute of Management Studies,2018-19,34.13793103448276
SVKM`s Narsee Monjee Institute of Management Studies,2019-20,6.8645640074211505
Sardar Vallabhbhai National Institute of Technology,2017-18,11.772665764546684
Sardar Vallabhbhai National Institute of Technology,2018-19,10.453920220082532
Sardar Vallabhbhai National Institute of Technology,2019-20,18.333333333333332
Sathyabama Institute of Science and Technology,2015-16,31.03448275862069
Sathyabama Institute of Science and Technology,2016-17,23.853211009174313
Sathyabama Institute of Science and Technology,2017-18,33.047210300429185
Sathyabama Institute of Science and Technology,2018-19,21.518987341772153
Sathyabama Institute of Science and Technology,2019-20,20.085470085470085
Saveetha Institute of Medical and Technical Sciences,2015-16,2.3041474654377883
Saveetha Institute of Medical and Technical Sciences,2016-17,5.939226519337017
Saveetha Institute of Medical and Technical Sciences,2017-18,4.1457286432160805
Saveetha Institute of Medical and Technical Sciences,2018-19,11.15151515151515
Saveetha Institute of Medical and Technical Sciences,2019-20,5.316091954022988
Savitribai Phule Pune University,2015-16,36.0
Savitribai Phule Pune University,2016-17,19.230769230769234
Savitribai Phule Pune University,2017-18,25.0
Savitribai Phule Pune University,2018-19,31.25
Savitribai Phule Pune University,2019-20,46.666666666666664
Sawai Man Singh Medical College,2016-17,41.221374045801525
Sawai Man Singh Medical College,2017-18,41.340782122905026
Sawai Man Singh Medical College,2018-19,42.77456647398844
Shanmugha Arts Science Technology & Research Academy,2015-16,32.05128205128205
Shanmugha Arts Science Technology & Research Academy,2016-17,28.597122302158272
Shanmugha Arts Science Technology & Research Academy,2017-18,36.74698795180723
Shanmugha Arts Science Technology & Research Academy,2018-19,41.284403669724774
Shanmugha Arts Science Technology & Research Academy,2019-20,38.05309734513274
Shiv Nadar University,2015-16,16.589861751152075
Shiv Nadar University,2016-17,13.544668587896252
Shiv Nadar University,2017-18,31.009615384615387
Shiv Nadar University,2018-19,21.52777777777778
Shiv Nadar University,2019-20,10.266940451745379
Siksha `O` Anusandhan,2015-16,5.347298787210584
Siksha `O` Anusandhan,2016-17,14.086146682188591
Siksha `O` Anusandhan,2017-18,21.513269339356295
Siksha `O` Anusandhan,2018-19,0.0
Siksha `O` Anusandhan,2019-20,0.0
Sri Ramachandra Institute of Higher Education And Research,2016-17,0.0
Sri Ramachandra Institute of Higher Education And Research,2017-18,54.54545454545454
Sri Ramachandra Institute of Higher Education And Research,2018-19,53.333333333333336
Sri Ramachandra Institute of Higher Education and Research,2015-16,0.0
Sri Ramachandra Institute of Higher Education and Research,2016-17,0.0
Sri Ramachandra Institute of Higher Education and Research,2017-18,62.06896551724138
Sri Ramachandra Institute of Higher Education and Research,2018-19,58.82352941176471
Sri Ramachandra Institute of Higher Education and Research,2019-20,58.82352941176471
Sri Sivasubramaniya Nadar College of Engineering,2015-16,15.901060070671377
Sri Sivasubramaniya Nadar College of Engineering,2016-17,18.682634730538922
Sri Sivasubramaniya Nadar College of Engineering,2017-18,15.0
Sri Sivasubramaniya Nadar College of Engineering,2018-19,15.628970775095299
Sri Sivasubramaniya Nadar College of Engineering,2019-20,15.220483641536273
Sri Venkateswara University,2015-16,0.0
Sri Venkateswara University,2016-17,0.0
Sri Venkateswara University,2017-18,0.0
Sri Venkateswara University,2018-19,0.4
Sri Venkateswara University,2019-20,11.538461538461538
Symbiosis International,2015-16,26.094003241491087
Symbiosis International,2016-17,17.68901569186876
Symbiosis International,2017-18,16.61092530657748
Symbiosis International,2018-19,19.39328277356446
Symbiosis International,2019-20,38.21362799263352
Tamil Nadu Agricultural University,2015-16,23.886138613861384
Tamil Nadu Agricultural University,2016-17,23.120728929384963
Tamil Nadu Agricultural University,2017-18,26.169265033407573
Tamil Nadu Veterinary & Animal Sciences University,2015-16,12.82051282051282
Tamil Nadu Veterinary & Animal Sciences University,2016-17,13.157894736842104
Tamil Nadu Veterinary & Animal Sciences University,2017-18,3.7735849056603774
Tata Institute of Social Sciences,2015-16,93.08176100628931
Tata Institute of Social Sciences,2016-17,93.64161849710982
Tata Institute of Social Sciences,2017-18,97.40259740259741
Tata Institute of Social Sciences,2018-19,53.896103896103895
Tata Institute of Social Sciences,2019-20,36.0
Tezpur University,2015-16,0.0
Tezpur University,2016-17,0.0
Tezpur University,2017-18,33.33333333333333
Tezpur University,2018-19,36.36363636363637
Thapar Institute of Engineering & Technology,2016-17,11.714589989350372
Thapar Institute of Engineering & Technology,2017-18,4.457050243111831
Thapar Institute of Engineering & Technology,2018-19,14.173228346456693
Thapar Institute of Engineering and Technology,2017-18,4.457050243111831
Thapar Institute of Engineering and Technology,2018-19,14.173228346456693
Thapar Institute of Engineering and Technology,2019-20,11.749515816655908
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2015-16,8.741258741258742
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2016-17,11.714589989350372
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2017-18,4.457050243111831
University of Delhi,2015-16,40.68627450980392
University of Delhi,2016-17,42.65402843601896
University of Delhi,2017-18,52.97029702970298
University of Delhi,2018-19,49.063670411985015
University of Jammu,2016-17,76.92307692307693
University of Jammu,2017-18,84.0
University of Jammu,2018-19,80.0
University of Kashmir,2015-16,0.0
University of Kashmir,2016-17,0.0
University of Kashmir,2017-18,0.0
University of Kashmir,2018-19,0.0
University of Kashmir,2019-20,24.59016393442623
Vellore Institute of Technology,2015-16,29.72972972972973
Vellore Institute of Technology,2016-17,50.34013605442177
Vellore Institute of Technology,2017-18,59.427207637231504
Vellore Institute of Technology,2018-19,42.42424242424242
Vellore Institute of Technology,2019-20,70.40441176470588
Visva Bharati,2015-16,76.65952890792292
Visva Bharati,2016-17,77.32474964234622
Visva Bharati,2017-18,71.53053132434576
Visva Bharati,2018-19,71.53053132434576
Visva Bharati,2019-20,78.34645669291339
Visvesvaraya National Institute of Technology,2017-18,16.59125188536953
Visvesvaraya National Institute of Technology,2018-19,26.253687315634217
Visvesvaraya National Institute of Technology,2019-20,23.333333333333332
